"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
423,"EMMS","Emmis Communications Corporation","Services","Broadcasting - Radio","USA",42.32,0.68,3.32,-0.70%,5640
424,"ENG","BNPP E NMX 30 Infrastructure Glbl ETF","Services","Technical Services","USA",21.61,,0.82,1.69%,3805
425,"ENSG","The Ensign Group, Inc.","Healthcare","Long-Term Care Facilities","USA",1394.11,32.96,27.33,-1.16%,81472
426,"ENTG","Entegris, Inc.","Technology","Semiconductor Equipment & Materials","USA",4644.81,55.59,33.15,1.07%,383708
427,"EPAY","Bottomline Technologies (de), Inc.","Technology","Business Software & Services","USA",1517.35,,37.28,0.51%,44782
428,"EQFN","Equitable Financial Corp.","Financial","Savings & Loans","USA",35.84,28.84,10.68,-0.23%,45250
429,"EQIX","Equinix, Inc. (REIT)","Technology","Internet Software & Services","USA",30412.53,128.48,391.13,1.61%,431577
430,"ERIE","Erie Indemnity Company","Financial","Insurance Brokers","USA",5915.36,28.46,112.46,-1.82%,4286
431,"ESBK","Elmira Savings Bank","Financial","Regional - Northeast Banks","USA",52.65,15.91,20.20,-0.25%,19592
432,"ESCA","Escalade, Incorporated","Consumer Goods","Sporting Goods","USA",176.65,17.19,12.15,0.79%,4137
433,"ESIO","Electro Scientific Industries, Inc.","Technology","Semiconductor - Integrated Circuits","USA",643.15,29.44,17.31,-3.30%,598890
434,"ESND","Essendant Inc.","Consumer Goods","Business Equipment","USA",306.01,,8.65,7.13%,459358
435,"ESRX","Express Scripts Holding Company","Healthcare","Health Care Plans","USA",43359.60,12.48,75.35,-0.63%,998519
436,"ESSA","ESSA Bancorp, Inc.","Financial","Savings & Loans","USA",179.55,43.95,15.35,-0.49%,10883
437,"ESXB","Community Bankers Trust Corporation","Financial","Diversified Investments","USA",179.74,25.71,8.25,0.61%,2822
438,"ETFC","E*TRADE Financial Corporation","Financial","Investment Brokerage - National","USA",13849.94,24.13,51.64,-0.23%,606697
439,"EVEP","EV Energy Partners, L.P.","Basic Materials","Oil & Gas Drilling & Exploration","USA",28.73,,0.63,6.78%,52463
440,"EVLV","EVINE Live Inc.","Services","Catalog & Mail Order Houses","USA",74.12,,1.15,-0.72%,58845
441,"EVOL","Evolving Systems, Inc.","Technology","Technical & System Software","USA",70.34,16.23,5.60,0.00%,767
442,"EWBC","East West Bancorp, Inc.","Financial","Foreign Money Center Banks","USA",9736.51,19.44,66.70,-1.02%,244999
443,"EXAC","Exactech, Inc.","Healthcare","Medical Appliances & Equipment","USA",710.38,1894.23,49.25,0.00%,0
444,"EXAS","Exact Sciences Corporation","Healthcare","Medical Laboratories & Research","USA",5616.39,,46.21,-0.92%,1188627
445,"EXEL","Exelixis, Inc.","Healthcare","Biotechnology","USA",8753.24,58.80,29.15,0.55%,719978
446,"EXLS","ExlService Holdings, Inc.","Services","Business Services","USA",2040.33,28.74,61.10,0.86%,38047
447,"EXPD","Expeditors International of Washington, Inc.","Services","Air Delivery & Freight Services","USA",11383.82,26.89,64.53,0.84%,452559
448,"EXPE","Expedia, Inc.","Services","Lodging","USA",15460.86,43.36,104.70,1.66%,877634
449,"EXPO","Exponent, Inc.","Services","Management Services","USA",1952.76,35.40,77.10,1.11%,21982
450,"EXTR","Extreme Networks, Inc.","Technology","Networking & Communication Devices","USA",1372.29,,11.75,-1.76%,648093
451,"EZPW","EZCORP, Inc.","Financial","Credit Services","USA",706.99,18.94,13.23,0.19%,96352
452,"FALC","FalconStor Software, Inc.","Technology","Application Software","USA",11.07,,0.19,-2.63%,5707
453,"FARM","Farmer Bros. Co.","Consumer Goods","Processed & Packaged Goods","USA",521.40,,31.05,-1.74%,33505
454,"FARO","FARO Technologies, Inc.","Technology","Scientific & Technical Instruments","USA",939.06,13500.00,59.95,11.02%,176344
455,"FAST","Fastenal Company","Services","Industrial Equipment Wholesale","USA",15890.92,25.72,54.56,0.33%,331355
456,"FBIZ","First Business Financial Services, Inc.","Financial","Regional - Midwest Banks","USA",214.05,13.73,24.81,0.61%,3458
457,"FBMS","The First Bancshares, Inc.","Financial","Regional - Southeast Banks","USA",358.94,24.54,32.17,-0.23%,6648
458,"FBNC","First Bancorp","Financial","Regional - Mid-Atlantic Banks","USA",1046.14,19.87,35.71,-0.22%,14518
459,"FBSS","Fauquier Bankshares, Inc.","Financial","Regional - Southeast Banks","USA",80.59,32.48,21.17,-1.25%,1568
460,"FCAP","First Capital, Inc.","Financial","Savings & Loans","USA",125.25,16.16,35.05,-6.53%,45
461,"FCBC","First Community Bancshares, Inc.","Financial","Regional - Mid-Atlantic Banks","USA",451.91,21.45,26.79,-0.70%,12880
462,"FCCO","First Community Corporation","Financial","Regional - Southwest  Banks","USA",141.45,21.25,21.05,-1.64%,4443
463,"FCCY","1st Constitution Bancorp","Financial","Regional - Northeast Banks","USA",155.38,23.20,19.40,0.26%,1512
464,"FCEL","FuelCell Energy, Inc.","Utilities","Diversified Utilities","USA",132.43,,1.72,-0.57%,266310
465,"FCNCA","First Citizens BancShares, Inc.","Financial","Regional - Mid-Atlantic Banks","USA",5510.49,15.93,430.02,0.12%,9298
466,"FDEF","First Defiance Financial Corp.","Financial","Savings & Loans","USA",556.95,17.11,55.31,1.10%,31383
467,"FEIM","Frequency Electronics, Inc.","Technology","Communication Equipment","USA",85.69,,10.10,0.91%,1105
468,"FELE","Franklin Electric Co., Inc.","Industrial Goods","Industrial Electrical Equipment","USA",1888.50,21.68,40.30,-1.35%,68665
469,"FFBC","First Financial Bancorp.","Financial","Regional - Midwest Banks","USA",1762.47,18.43,28.70,0.00%,86650
470,"FFIC","Flushing Financial Corporation","Financial","Savings & Loans","USA",781.15,19.36,27.29,-0.33%,20396
471,"FFIN","First Financial Bankshares, Inc.","Financial","Regional - Southwest  Banks","USA",3173.49,28.03,47.40,-0.42%,29571
472,"FFIV","F5 Networks, Inc.","Technology","Business Software & Services","USA",8968.92,22.28,145.21,0.38%,182125
473,"FFKT","Farmers Capital Bank Corporation","Financial","Regional - Southeast Banks","USA",282.73,24.39,37.75,-0.53%,893
474,"FFNW","First Financial Northwest, Inc.","Financial","Regional - Pacific Banks","USA",168.90,17.37,15.68,-0.57%,5404
475,"FHB","First Hawaiian, Inc.","Financial","Regional - Pacific Banks","USA",3931.32,21.42,28.61,1.58%,171412
476,"FINL","The Finish Line, Inc.","Services","Specialty Retail, Other","USA",417.90,39.16,10.57,3.42%,633806
477,"FISI","Financial Institutions, Inc.","Financial","Regional - Mid-Atlantic Banks","USA",484.52,14.79,31.27,-0.08%,9728
478,"FISV","Fiserv, Inc.","Services","Business Services","USA",29369.88,24.38,142.14,1.68%,317812
479,"FITB","Fifth Third Bancorp","Financial","Regional - Midwest Banks","USA",23644.42,11.74,33.40,-0.10%,1881747
480,"FIZZ","National Beverage Corp.","Consumer Goods","Beverages - Soft Drinks","USA",4528.95,36.68,98.85,0.49%,62709
481,"FLIC","The First of Long Island Corporation","Financial","Regional - Northeast Banks","USA",686.07,19.81,28.48,0.44%,16756
482,"FLIR","FLIR Systems, Inc.","Technology","Scientific & Technical Instruments","USA",6747.94,62.58,48.17,-0.29%,502708
483,"FLL","Full House Resorts, Inc.","Services","Resorts & Casinos","USA",71.88,,3.09,-0.96%,34460
484,"FLWS","1-800-FLOWERS.COM, Inc.","Services","Specialty Retail, Other","USA",733.13,20.32,11.68,1.52%,81480
485,"FLXS","Flexsteel Industries, Inc.","Consumer Goods","Home Furnishings & Fixtures","USA",322.32,12.28,39.77,-1.41%,4163
486,"FMAO","Farmers & Merchants Bancorp, Inc.","Financial","Regional - Midwest Banks","USA",363.48,29.37,39.44,1.13%,6207
487,"FMBH","First Mid-Illinois Bancshares, Inc.","Financial","Regional - Midwest Banks","USA",447.72,16.76,35.60,-0.45%,12211
488,"FMBI","First Midwest Bancorp, Inc.","Financial","Regional - Midwest Banks","USA",2547.85,20.51,24.89,-0.68%,66537
489,"FMNB","Farmers National Banc Corp.","Financial","Regional - Midwest Banks","USA",404.86,17.87,14.34,-1.79%,8014
490,"FNBG","FNB Bancorp","Financial","Regional - Pacific Banks","USA",267.47,25.91,37.16,1.56%,1736
491,"FNHC","Federated National Holding Company","Financial","Property & Casualty Insurance","USA",201.95,,16.07,1.77%,19798
492,"FNLC","The First Bancorp, Inc.","Financial","Regional - Northeast Banks","USA",291.44,14.89,27.08,0.45%,2328
493,"FNSR","Finisar Corporation","Technology","Networking & Communication Devices","USA",2123.84,10.47,18.03,-1.56%,1848569
494,"FOLD","Amicus Therapeutics, Inc.","Healthcare","Biotechnology","USA",2623.32,,15.15,0.17%,2075533
495,"FONR","Fonar Corporation","Healthcare","Medical Appliances & Equipment","USA",170.09,9.36,26.20,1.35%,6997
496,"FORD","Forward Industries, Inc.","Consumer Goods","Textile - Apparel Footwear & Accessories","USA",14.98,30.75,1.66,1.84%,259065
497,"FORM","FormFactor, Inc.","Technology","Semiconductor - Broad Line","USA",968.63,23.69,12.90,-1.90%,337148
498,"FORR","Forrester Research, Inc.","Services","Research Services","USA",731.01,49.46,41.25,-0.12%,62335
499,"FOSL","Fossil Group, Inc.","Consumer Goods","Textile - Apparel Footwear & Accessories","USA",717.64,,13.68,-1.08%,2000511
500,"FOXA","Twenty-First Century Fox, Inc.","Services","Entertainment - Diversified","USA",67493.67,25.51,37.25,0.51%,2307314
501,"FRBK","Republic First Bancorp, Inc.","Financial","Regional - Northeast Banks","USA",480.17,55.56,8.48,-0.29%,14562
502,"FRED","Fred's, Inc.","Services","Discount, Variety Stores","USA",122.94,,3.27,-1.95%,248795
503,"FRME","First Merchants Corporation","Financial","Regional - Midwest Banks","USA",2088.93,20.03,42.55,-0.21%,55099
504,"FRPH","FRP Holdings, Inc.","Financial","Property Management","USA",487.07,16.49,51.50,3.83%,7686
505,"FSBC","FSB Bancorp, Inc.","Financial","Regional - Northeast Banks","USA",32.26,108.95,16.67,0.00%,353
506,"FSLR","First Solar, Inc.","Technology","Semiconductor - Specialized","USA",6962.81,,66.62,-0.12%,1119160
507,"FSNN","Fusion Telecommunications International, Inc.","Technology","Wireless Communications","USA",65.04,,2.89,3.21%,105126
508,"FSTR","L.B. Foster Company","Services","Railroads","USA",276.88,,28.05,1.81%,14873
509,"FTEK","Fuel Tech, Inc.","Industrial Goods","Pollution & Treatment Controls","USA",27.51,,1.08,-2.70%,10443
510,"FTR","Frontier Communications Corporation","Technology","Telecom Services - Domestic","USA",662.69,,8.44,-3.69%,1200761
511,"FULT","Fulton Financial Corporation","Financial","Regional - Northeast Banks","USA",3289.83,19.26,18.70,-0.53%,192467
512,"FUNC","First United Corporation","Financial","Regional - Mid-Atlantic Banks","USA",119.36,18.53,17.15,0.29%,102
513,"FVE","Five Star Senior Living Inc.","Healthcare","Long-Term Care Facilities","USA",71.30,,1.45,0.00%,40885
514,"FWRD","Forward Air Corporation","Services","Air Delivery & Freight Services","USA",1631.58,27.28,54.69,0.07%,70503
515,"GABC","German American Bancorp, Inc.","Financial","Regional - Midwest Banks","USA",795.75,19.64,34.56,-0.80%,16928
516,"GAIA","Gaia, Inc.","Services","Catalog & Mail Order Houses","USA",194.04,,12.80,-0.39%,35210
517,"GAIN","Gladstone Investment Corporation","Financial","Diversified Investments","USA",326.61,6.67,10.14,0.50%,45776
518,"GALT","Galectin Therapeutics, Inc.","Healthcare","Drugs - Generic","USA",137.68,,4.26,1.67%,55529
519,"GBCI","Glacier Bancorp, Inc.","Financial","Regional - Pacific Banks","USA",3153.70,26.94,40.32,-0.27%,59900
520,"GBNK","Guaranty Bancorp","Financial","Regional - Mid-Atlantic Banks","USA",830.54,20.92,28.45,-0.52%,19459
521,"GCBC","Greene County Bancorp, Inc.","Financial","Savings & Loans","USA",294.29,22.86,34.60,0.29%,360
522,"GDEN","Golden Entertainment, Inc.","Services","Resorts & Casinos","USA",761.88,26.02,28.34,-1.43%,40843
523,"GENC","Gencor Industries, Inc.","Industrial Goods","Farm & Construction Machinery","USA",232.88,25.27,16.50,2.17%,7463
524,"GEOS","Geospace Technologies Corporation","Basic Materials","Oil & Gas Equipment & Services","USA",155.58,,11.55,1.85%,10377
525,"GERN","Geron Corporation","Healthcare","Biotechnology","USA",358.29,,2.26,0.25%,349153
526,"GFED","Guaranty Federal Bancshares, Inc.","Financial","Regional - Southwest  Banks","USA",98.61,18.30,22.41,0.45%,100
527,"GFN","General Finance Corporation","Services","Rental & Leasing Services","USA",193.74,,7.40,1.37%,19097
528,"GHDX","Genomic Health, Inc.","Healthcare","Medical Laboratories & Research","USA",1155.73,,31.81,-4.99%,120003
529,"GIFI","Gulf Island Fabrication, Inc.","Basic Materials","Oil & Gas Equipment & Services","USA",172.79,,11.80,2.16%,6306
530,"GIII","G-III Apparel Group, Ltd.","Consumer Goods","Textile - Apparel Clothing","USA",1786.89,43.37,36.54,0.30%,70777
531,"GILD","Gilead Sciences, Inc.","Healthcare","Biotechnology","USA",106484.98,23.16,80.21,-0.59%,3588328
532,"GLBZ","Glen Burnie Bancorp","Financial","Regional - Mid-Atlantic Banks","USA",33.85,23.12,12.10,0.08%,101
533,"GLDD","Great Lakes Dredge & Dock Corporation","Industrial Goods","Heavy Construction","USA",282.13,,4.70,3.87%,115199
534,"GLUU","Glu Mobile Inc.","Technology","Multimedia & Graphics Software","USA",541.12,,3.82,0.39%,435780
535,"GNCMA","General Communication, Inc.","Technology","Long Distance Carriers","USA",1426.67,,39.05,-1.19%,20106
536,"GNTX","Gentex Corporation","Consumer Goods","Auto Parts","USA",6549.80,16.25,23.17,0.89%,724982
537,"GOOD","Gladstone Commercial Corporation","Financial","REIT - Diversified","USA",469.80,,17.23,0.23%,42229
538,"GOOGL","Alphabet Inc.","Technology","Internet Information Providers","USA",770403.15,62.02,1117.16,0.31%,710401
539,"GPIC","Gaming Partners International Corporation","Services","Gaming Activities","USA",75.70,19.71,9.75,0.72%,5
540,"GPOR","Gulfport Energy Corporation","Basic Materials","Independent Oil & Gas","USA",1550.30,,9.80,16.53%,6616658
541,"GPRE","Green Plains Inc.","Basic Materials","Specialty Chemicals","USA",788.13,8.56,18.95,0.00%,157168
542,"GRBK","Green Brick Partners, Inc.","Financial","Real Estate Development","USA",551.43,17.57,10.86,-1.27%,11852
543,"GRIF","Griffin Industrial Realty, Inc.","Financial","Property Management","USA",183.87,39.85,36.35,-0.95%,7418
