"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
332,"DNB","The Dun & Bradstreet Corporation","Technology","Information & Delivery Services","USA",4394.49,31.16,119.99,1.03%,236047
333,"DNR","Denbury Resources Inc.","Basic Materials","Independent Oil & Gas","USA",795.64,,2.35,12.79%,6381707
334,"DO","Diamond Offshore Drilling, Inc.","Basic Materials","Oil & Gas Drilling & Exploration","USA",1928.29,98.31,14.79,5.95%,683573
335,"DOV","Dover Corporation","Industrial Goods","Diversified Machinery","USA",15634.87,19.44,102.47,2.49%,401152
336,"DPW","DPW Holdings, Inc.","Technology","Diversified Electronics","USA",57.44,,1.73,-2.75%,843971
337,"DPZ","Domino's Pizza, Inc.","Services","Restaurants","USA",10612.45,43.91,227.07,-1.50%,957907
338,"DRE","Duke Realty Corporation","Financial","REIT - Industrial","USA",8833.56,31.70,25.15,1.31%,1137947
339,"DRH","DiamondRock Hospitality Company","Financial","REIT - Hotel/Motel","USA",2170.04,24.24,10.94,0.05%,1309023
340,"DRI","Darden Restaurants, Inc.","Services","Restaurants","USA",11915.36,24.01,95.42,0.13%,310053
341,"DRQ","Dril-Quip, Inc.","Basic Materials","Oil & Gas Equipment & Services","USA",1743.18,,46.78,0.70%,234586
342,"DS","Drive Shack Inc.","Financial","REIT - Diversified","USA",348.92,,5.26,1.74%,108426
343,"DSS","Document Security Systems, Inc.","Services","Business Services","USA",19.28,,1.10,-4.38%,33737
344,"DST","DST Systems, Inc.","Technology","Business Software & Services","USA",5038.10,11.67,83.05,0.06%,301105
345,"DSW","DSW Inc.","Services","Apparel Stores","USA",1578.88,18.31,19.85,1.48%,771324
346,"DTE","DTE Energy Company","Utilities","Electric Utilities","USA",18240.10,18.63,102.85,0.93%,439827
347,"DUK","Duke Energy Corporation","Utilities","Electric Utilities","USA",52731.00,19.78,76.10,1.02%,1275409
348,"DVA","DaVita Inc.","Healthcare","Specialized Health Services","USA",13332.51,14.96,73.07,0.72%,650346
349,"DVD","Dover Motorsports, Inc.","Services","Sporting Activities","USA",79.27,21.00,2.08,-0.97%,8902
350,"DVN","Devon Energy Corporation","Basic Materials","Independent Oil & Gas","USA",16361.68,10.39,30.97,1.31%,10681558
351,"DX","Dynex Capital, Inc.","Financial","REIT - Residential","USA",335.25,4.38,6.31,0.00%,92499
352,"DXR","Daxor Corporation","Healthcare","Medical Instruments & Supplies","USA",13.80,,3.78,3.85%,1
353,"DY","Dycom Industries, Inc.","Industrial Goods","Heavy Construction","USA",3529.24,26.91,116.23,2.03%,110080
354,"EAT","Brinker International, Inc.","Services","Restaurants","USA",1679.04,12.46,34.77,-0.60%,1034060
355,"EBF","Ennis, Inc.","Consumer Goods","Office Supplies","USA",517.30,16.28,20.30,-0.25%,20473
356,"EBS","Emergent BioSolutions Inc.","Healthcare","Biotechnology","USA",2414.47,30.98,49.65,-0.02%,81435
357,"ECF","Ellsworth Growth and Income Fund Ltd.","Financial","Asset Management","USA",117.30,8.25,9.05,-0.77%,43417
358,"ECL","Ecolab Inc.","Consumer Goods","Cleaning Products","USA",37609.95,29.22,129.94,0.03%,428760
359,"ED","Consolidated Edison, Inc.","Utilities","Electric Utilities","USA",23380.61,18.92,76.39,1.22%,662651
360,"EDR","Education Realty Trust, Inc.","Financial","REIT - Residential","USA",2279.25,66.64,31.24,2.80%,383461
361,"EE","El Paso Electric Company","Utilities","Electric Utilities","USA",2007.98,20.85,50.10,0.40%,106163
362,"EEP","Enbridge Energy Partners, L.P.","Basic Materials","Oil & Gas Pipelines","USA",4292.67,17.30,13.02,0.74%,400684
363,"EEQ","Enbridge Energy Management, L.L.C.","Basic Materials","Independent Oil & Gas","USA",1113.01,,12.22,1.08%,139743
364,"EFX","Equifax Inc.","Financial","Credit Services","USA",13634.56,25.74,115.72,1.66%,621246
365,"EGHT","8x8, Inc.","Technology","Diversified Communication Services","USA",1687.25,,18.60,0.81%,168840
366,"EGN","Energen Corporation","Basic Materials","Independent Oil & Gas","USA",5097.30,,54.89,4.57%,778583
367,"EGP","EastGroup Properties, Inc.","Financial","REIT - Industrial","USA",2746.17,32.76,81.23,1.58%,54196
368,"EGY","VAALCO Energy, Inc.","Basic Materials","Independent Oil & Gas","USA",47.42,10.95,0.80,-1.31%,181018
369,"EIG","Employers Holdings, Inc.","Financial","Accident & Health Insurance","USA",1305.32,12.66,43.20,6.67%,192644
370,"EIX","Edison International","Utilities","Electric Utilities","USA",19263.34,13.50,59.97,1.49%,878557
371,"EL","The Estee Lauder Companies Inc.","Consumer Goods","Personal Products","USA",50972.78,48.60,140.75,0.67%,504170
372,"ELS","Equity LifeStyle Properties, Inc.","Financial","REIT - Residential","USA",7226.74,38.00,85.08,3.19%,214671
373,"ELY","Callaway Golf Company","Consumer Goods","Sporting Goods","USA",1490.77,37.10,15.56,-0.38%,182930
374,"EMAN","eMagin Corporation","Technology","Semiconductor Equipment & Materials","USA",67.81,,1.58,1.61%,74226
375,"EME","EMCOR Group, Inc.","Industrial Goods","General Contractors","USA",4427.91,20.83,76.76,1.78%,147272
376,"EMN","Eastman Chemical Company","Basic Materials","Chemicals - Major Diversified","USA",14527.64,9.99,102.27,1.17%,439123
377,"EMR","Emerson Electric Co.","Industrial Goods","Industrial Electrical Equipment","USA",45829.14,27.60,72.39,0.81%,965367
378,"ENLC","EnLink Midstream, LLC","Basic Materials","Oil & Gas Pipelines","USA",2903.67,463.24,15.75,0.00%,184015
379,"ENLK","EnLink Midstream Partners, LP","Basic Materials","Independent Oil & Gas","USA",5558.73,,15.58,-1.64%,227586
380,"ENS","EnerSys","Industrial Goods","Industrial Electrical Equipment","USA",3053.71,32.27,72.99,1.00%,53128
381,"ENSV","Enservco Corporation","Basic Materials","Independent Oil & Gas","USA",43.28,,0.83,-3.06%,41744
382,"ENZ","Enzo Biochem, Inc.","Healthcare","Medical Laboratories & Research","USA",329.86,,6.91,-0.50%,41033
383,"EOG","EOG Resources, Inc.","Basic Materials","Independent Oil & Gas","USA",61210.03,7557.86,108.13,2.19%,1849749
384,"EPC","Edgewell Personal Care Company","Consumer Goods","Personal Products","USA",2907.76,,51.92,-0.11%,114349
385,"EPD","Enterprise Products Partners L.P.","Basic Materials","Independent Oil & Gas","USA",56568.67,23.40,26.08,0.50%,1259894
386,"EPM","Evolution Petroleum Corporation","Basic Materials","Independent Oil & Gas","USA",264.47,16.25,8.06,2.61%,45646
387,"EPR","EPR Properties","Financial","REIT - Retail","USA",4115.19,16.75,57.26,1.74%,137851
388,"EQC","Equity Commonwealth","Financial","REIT - Office","USA",3506.20,169.06,29.30,1.35%,345136
