ACCO
ADM
AOI
ATR
AVP
AVY
AXL
BC
BFA
BFB
BG
BLL
BMS
BWA
CAG
CAL
CCE
CCK
CHD
CL
CLX
CMT
COH
CPB
CRI
CSL
CTB
DECK
DF
DLA
EBF
ECL
EL
ELY
EPC
ETH
F
FL
FLO
GEF
GIS
GLT
GPK
HBI
HNI
HOG
HRL
HSY
INGR
IP
JCI
K
KATE
KMB
KNL
KO
KS
LBY
LDL
LEG
LZB
MHK
MKC
MLR
MO
MOD
MOV
MPX
MTOR
MYE
NAV
NC
NKE
NLS
NP
NUS
NWL
OI
OME
OSK
OXM
PAY
PBI
PEP
PG
PII
PKG
PVH
RAI
REV
RL
ROX
SAM
SCL
SCS
SEE
SJM
SKX
SMP
SON
SRI
STS
STZ
SUP
SWM
TAP
TEN
TG
THO
THS
TIS
TPX
TR
TSN
TUP
UAA
UNF
UVV
VFC
VGR
WGO
WHR
WNC
WWW
APH
AVX
AYI
BHE
BMI
BR
BRC
CACI
CBB
CCI
CIEN
CLGX
CRM
CTL
CTS
CUB
DBD
DDD
DLB
DNB
DST
ESE
EXAR
FDS
FICO
FIS
GLW
GTT
HPQ
HRS
IBM
IDT
IRM
IT
JBL
JNPR
KEM
LDOS
LDR
LSI
LVLT
MEI
MSI
NCR
NSR
ORCL
PAR
PKE
PLT
QTM
RHT
ROG
RTEC
S
SPA
SYX
T
TDS
TDY
TER
TYL
UIS
USM
VG
VHC
VSH
VZ
XRX
